SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
FR-Bil,1,GRP_VAR_INFO,VAR_INFO_VARNAME,G_1
FR-Bil,1,GRP_VAR_INFO,VAR_INFO_HEIGHT,0
FR-Bil,1,GRP_VAR_INFO,VAR_INFO_MODEL,SOIL_H-Plate_AUTO
FR-Bil,1,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
FR-Bil,1,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,4
FR-Bil,1,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,2,GRP_VAR_INFO,VAR_INFO_VARNAME,G_2
FR-Bil,2,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.05
FR-Bil,2,GRP_VAR_INFO,VAR_INFO_MODEL,SOIL_H-Plate_AUTO
FR-Bil,2,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
FR-Bil,2,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,4
FR-Bil,2,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,3,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_IN
FR-Bil,3,GRP_VAR_INFO,VAR_INFO_HEIGHT,15.6
FR-Bil,3,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
FR-Bil,3,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
FR-Bil,3,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
FR-Bil,3,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,4,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_OUT
FR-Bil,4,GRP_VAR_INFO,VAR_INFO_HEIGHT,15.6
FR-Bil,4,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
FR-Bil,4,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
FR-Bil,4,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
FR-Bil,4,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,5,GRP_VAR_INFO,VAR_INFO_VARNAME,P
FR-Bil,5,GRP_VAR_INFO,VAR_INFO_HEIGHT,7.8
FR-Bil,5,GRP_VAR_INFO,VAR_INFO_MODEL,PREC-WeightGauge
FR-Bil,5,GRP_VAR_INFO,VAR_INFO_UNIT,mm
FR-Bil,5,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
FR-Bil,5,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,6,GRP_VAR_INFO,VAR_INFO_VARNAME,P
FR-Bil,6,GRP_VAR_INFO,VAR_INFO_HEIGHT,9.4
FR-Bil,6,GRP_VAR_INFO,VAR_INFO_MODEL,PREC-WeightGauge
FR-Bil,6,GRP_VAR_INFO,VAR_INFO_UNIT,mm
FR-Bil,6,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
FR-Bil,6,GRP_VAR_INFO,VAR_INFO_DATE,202101191300
FR-Bil,7,GRP_VAR_INFO,VAR_INFO_VARNAME,PA
FR-Bil,7,GRP_VAR_INFO,VAR_INFO_HEIGHT,15.6
FR-Bil,7,GRP_VAR_INFO,VAR_INFO_MODEL,PRES-ElectBar
FR-Bil,7,GRP_VAR_INFO,VAR_INFO_UNIT,kPa
FR-Bil,7,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
FR-Bil,7,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,8,GRP_VAR_INFO,VAR_INFO_VARNAME,PPFD_BC_IN
FR-Bil,8,GRP_VAR_INFO,VAR_INFO_HEIGHT,1.3
FR-Bil,8,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-PAR Quantum
FR-Bil,8,GRP_VAR_INFO,VAR_INFO_UNIT,umolPhoton m-2 s-1
FR-Bil,8,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,10
FR-Bil,8,GRP_VAR_INFO,VAR_INFO_DATE,202307011200
FR-Bil,9,GRP_VAR_INFO,VAR_INFO_VARNAME,PPFD_IN
FR-Bil,9,GRP_VAR_INFO,VAR_INFO_HEIGHT,15.6
FR-Bil,9,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-PAR Quantum
FR-Bil,9,GRP_VAR_INFO,VAR_INFO_UNIT,umolPhoton m-2 s-1
FR-Bil,9,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
FR-Bil,9,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,10,GRP_VAR_INFO,VAR_INFO_VARNAME,PPFD_OUT
FR-Bil,10,GRP_VAR_INFO,VAR_INFO_HEIGHT,15.6
FR-Bil,10,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-PAR Quantum
FR-Bil,10,GRP_VAR_INFO,VAR_INFO_UNIT,umolPhoton m-2 s-1
FR-Bil,10,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
