SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
SE-Htm,1,GRP_VAR_INFO,VAR_INFO_VARNAME,D_SNOW
SE-Htm,1,GRP_VAR_INFO,VAR_INFO_HEIGHT,1.9
SE-Htm,1,GRP_VAR_INFO,VAR_INFO_MODEL,SNOW-Acoustic
SE-Htm,1,GRP_VAR_INFO,VAR_INFO_UNIT,cm
SE-Htm,1,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Htm,1,GRP_VAR_INFO,VAR_INFO_DATE,20180419
SE-Htm,2,GRP_VAR_INFO,VAR_INFO_VARNAME,G_1
SE-Htm,2,GRP_VAR_INFO,VAR_INFO_HEIGHT,0
SE-Htm,2,GRP_VAR_INFO,VAR_INFO_MODEL,SOIL_H-Plate_AUTO
SE-Htm,2,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Htm,2,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,4
SE-Htm,2,GRP_VAR_INFO,VAR_INFO_DATE,20180419
SE-Htm,3,GRP_VAR_INFO,VAR_INFO_VARNAME,G_2
SE-Htm,3,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.05
SE-Htm,3,GRP_VAR_INFO,VAR_INFO_MODEL,SOIL_H-Plate_AUTO
SE-Htm,3,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Htm,3,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,4
SE-Htm,3,GRP_VAR_INFO,VAR_INFO_DATE,20180419
SE-Htm,4,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_IN
SE-Htm,4,GRP_VAR_INFO,VAR_INFO_HEIGHT,50
SE-Htm,4,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
SE-Htm,4,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Htm,4,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Htm,4,GRP_VAR_INFO,VAR_INFO_DATE,20180419
SE-Htm,5,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_OUT
SE-Htm,5,GRP_VAR_INFO,VAR_INFO_HEIGHT,50
SE-Htm,5,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
SE-Htm,5,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Htm,5,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Htm,5,GRP_VAR_INFO,VAR_INFO_DATE,20180419
SE-Htm,6,GRP_VAR_INFO,VAR_INFO_VARNAME,P
SE-Htm,6,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
SE-Htm,6,GRP_VAR_INFO,VAR_INFO_MODEL,RAIN-Other
SE-Htm,6,GRP_VAR_INFO,VAR_INFO_UNIT,mm
SE-Htm,6,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Htm,6,GRP_VAR_INFO,VAR_INFO_DATE,20180419
SE-Htm,7,GRP_VAR_INFO,VAR_INFO_VARNAME,P
SE-Htm,7,GRP_VAR_INFO,VAR_INFO_HEIGHT,6.3
SE-Htm,7,GRP_VAR_INFO,VAR_INFO_MODEL,PREC-WeightGauge
SE-Htm,7,GRP_VAR_INFO,VAR_INFO_UNIT,mm
SE-Htm,7,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Htm,7,GRP_VAR_INFO,VAR_INFO_DATE,201810050000
SE-Htm,8,GRP_VAR_INFO,VAR_INFO_VARNAME,P
SE-Htm,8,GRP_VAR_INFO,VAR_INFO_HEIGHT,1.5
SE-Htm,8,GRP_VAR_INFO,VAR_INFO_MODEL,PREC-WeightGauge
SE-Htm,8,GRP_VAR_INFO,VAR_INFO_UNIT,mm
SE-Htm,8,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Htm,8,GRP_VAR_INFO,VAR_INFO_DATE,202209011900
SE-Htm,9,GRP_VAR_INFO,VAR_INFO_VARNAME,PA
SE-Htm,9,GRP_VAR_INFO,VAR_INFO_HEIGHT,3.5
SE-Htm,9,GRP_VAR_INFO,VAR_INFO_MODEL,PRES-ElectBar
SE-Htm,9,GRP_VAR_INFO,VAR_INFO_UNIT,kPa
SE-Htm,9,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Htm,9,GRP_VAR_INFO,VAR_INFO_DATE,20180419
