SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
NL-Loo,1,GRP_VAR_INFO,VAR_INFO_VARNAME,G_1
NL-Loo,1,GRP_VAR_INFO,VAR_INFO_HEIGHT,0
NL-Loo,1,GRP_VAR_INFO,VAR_INFO_MODEL,SOIL_H-Plate_AUTO
NL-Loo,1,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
NL-Loo,1,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,4
NL-Loo,1,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,2,GRP_VAR_INFO,VAR_INFO_VARNAME,G_2
NL-Loo,2,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.05
NL-Loo,2,GRP_VAR_INFO,VAR_INFO_MODEL,SOIL_H-Plate_AUTO
NL-Loo,2,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
NL-Loo,2,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,4
NL-Loo,2,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,3,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_IN
NL-Loo,3,GRP_VAR_INFO,VAR_INFO_HEIGHT,37
NL-Loo,3,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
NL-Loo,3,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
NL-Loo,3,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
NL-Loo,3,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,4,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_OUT
NL-Loo,4,GRP_VAR_INFO,VAR_INFO_HEIGHT,37
NL-Loo,4,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
NL-Loo,4,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
NL-Loo,4,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
NL-Loo,4,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,5,GRP_VAR_INFO,VAR_INFO_VARNAME,P
NL-Loo,5,GRP_VAR_INFO,VAR_INFO_HEIGHT,15.3
NL-Loo,5,GRP_VAR_INFO,VAR_INFO_MODEL,PREC-WeightGauge
NL-Loo,5,GRP_VAR_INFO,VAR_INFO_UNIT,mm
NL-Loo,5,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
NL-Loo,5,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,6,GRP_VAR_INFO,VAR_INFO_VARNAME,PA
NL-Loo,6,GRP_VAR_INFO,VAR_INFO_HEIGHT,35
NL-Loo,6,GRP_VAR_INFO,VAR_INFO_MODEL,PRES-ElectBar
NL-Loo,6,GRP_VAR_INFO,VAR_INFO_UNIT,kPa
NL-Loo,6,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
NL-Loo,6,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,7,GRP_VAR_INFO,VAR_INFO_VARNAME,PPFD_IN
NL-Loo,7,GRP_VAR_INFO,VAR_INFO_HEIGHT,37
NL-Loo,7,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-PAR Quantum
NL-Loo,7,GRP_VAR_INFO,VAR_INFO_UNIT,umolPhoton m-2 s-1
NL-Loo,7,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
NL-Loo,7,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,8,GRP_VAR_INFO,VAR_INFO_VARNAME,PPFD_OUT
NL-Loo,8,GRP_VAR_INFO,VAR_INFO_HEIGHT,37
NL-Loo,8,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-PAR Quantum
NL-Loo,8,GRP_VAR_INFO,VAR_INFO_UNIT,umolPhoton m-2 s-1
NL-Loo,8,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
NL-Loo,8,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,9,GRP_VAR_INFO,VAR_INFO_VARNAME,RH
NL-Loo,9,GRP_VAR_INFO,VAR_INFO_HEIGHT,38.2
NL-Loo,9,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
NL-Loo,9,GRP_VAR_INFO,VAR_INFO_UNIT,%
NL-Loo,9,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
NL-Loo,9,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,10,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_IN
NL-Loo,10,GRP_VAR_INFO,VAR_INFO_HEIGHT,38.2
NL-Loo,10,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-SW Pyran SecSt
NL-Loo,10,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
NL-Loo,10,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
NL-Loo,10,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,11,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_OUT
NL-Loo,11,GRP_VAR_INFO,VAR_INFO_HEIGHT,37
NL-Loo,11,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
NL-Loo,11,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
NL-Loo,11,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
NL-Loo,11,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,12,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_1
NL-Loo,12,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.05
NL-Loo,12,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
NL-Loo,12,GRP_VAR_INFO,VAR_INFO_UNIT,%
NL-Loo,12,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,4
NL-Loo,12,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,13,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_2
NL-Loo,13,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.1
NL-Loo,13,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
NL-Loo,13,GRP_VAR_INFO,VAR_INFO_UNIT,%
NL-Loo,13,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,2
NL-Loo,13,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,14,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_3
NL-Loo,14,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.2
NL-Loo,14,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
NL-Loo,14,GRP_VAR_INFO,VAR_INFO_UNIT,%
NL-Loo,14,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,2
NL-Loo,14,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,15,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_4
NL-Loo,15,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.5
NL-Loo,15,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
NL-Loo,15,GRP_VAR_INFO,VAR_INFO_UNIT,%
NL-Loo,15,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,2
NL-Loo,15,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,16,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_5
NL-Loo,16,GRP_VAR_INFO,VAR_INFO_HEIGHT,-1
NL-Loo,16,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
NL-Loo,16,GRP_VAR_INFO,VAR_INFO_UNIT,%
NL-Loo,16,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,2
NL-Loo,16,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,17,GRP_VAR_INFO,VAR_INFO_VARNAME,TA
NL-Loo,17,GRP_VAR_INFO,VAR_INFO_HEIGHT,38.2
NL-Loo,17,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
NL-Loo,17,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
NL-Loo,17,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
NL-Loo,17,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,18,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_1
NL-Loo,18,GRP_VAR_INFO,VAR_INFO_HEIGHT,38.2
NL-Loo,18,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
NL-Loo,18,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
NL-Loo,18,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
NL-Loo,18,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,19,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_2
NL-Loo,19,GRP_VAR_INFO,VAR_INFO_HEIGHT,22.1
NL-Loo,19,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
NL-Loo,19,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
NL-Loo,19,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
NL-Loo,19,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,20,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_3
NL-Loo,20,GRP_VAR_INFO,VAR_INFO_HEIGHT,15.7
NL-Loo,20,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
NL-Loo,20,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
NL-Loo,20,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
NL-Loo,20,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,21,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_4
NL-Loo,21,GRP_VAR_INFO,VAR_INFO_HEIGHT,7.4
NL-Loo,21,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
NL-Loo,21,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
NL-Loo,21,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
NL-Loo,21,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,22,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_5
NL-Loo,22,GRP_VAR_INFO,VAR_INFO_HEIGHT,2.4
NL-Loo,22,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
NL-Loo,22,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
NL-Loo,22,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
NL-Loo,22,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,23,GRP_VAR_INFO,VAR_INFO_VARNAME,TS_1
NL-Loo,23,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.05
NL-Loo,23,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
NL-Loo,23,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
NL-Loo,23,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,4
NL-Loo,23,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,24,GRP_VAR_INFO,VAR_INFO_VARNAME,TS_2
NL-Loo,24,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.1
NL-Loo,24,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
NL-Loo,24,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
NL-Loo,24,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,2
NL-Loo,24,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,25,GRP_VAR_INFO,VAR_INFO_VARNAME,TS_3
NL-Loo,25,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.2
NL-Loo,25,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
NL-Loo,25,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
NL-Loo,25,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,2
NL-Loo,25,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,26,GRP_VAR_INFO,VAR_INFO_VARNAME,TS_4
NL-Loo,26,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.5
NL-Loo,26,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
NL-Loo,26,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
NL-Loo,26,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,2
NL-Loo,26,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,27,GRP_VAR_INFO,VAR_INFO_VARNAME,TS_5
NL-Loo,27,GRP_VAR_INFO,VAR_INFO_HEIGHT,-1
NL-Loo,27,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
NL-Loo,27,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
NL-Loo,27,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,2
NL-Loo,27,GRP_VAR_INFO,VAR_INFO_DATE,20230510
NL-Loo,28,GRP_VAR_INFO,VAR_INFO_VARNAME,WD_1
NL-Loo,28,GRP_VAR_INFO,VAR_INFO_HEIGHT,38.2
