SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
ES-LMa,1,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_IN
ES-LMa,1,GRP_VAR_INFO,VAR_INFO_HEIGHT,15
ES-LMa,1,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
ES-LMa,1,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
ES-LMa,1,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
ES-LMa,1,GRP_VAR_INFO,VAR_INFO_DATE,20200101
ES-LMa,2,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_OUT
ES-LMa,2,GRP_VAR_INFO,VAR_INFO_HEIGHT,15
ES-LMa,2,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
ES-LMa,2,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
ES-LMa,2,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
ES-LMa,2,GRP_VAR_INFO,VAR_INFO_DATE,20200101
ES-LMa,3,GRP_VAR_INFO,VAR_INFO_VARNAME,P
ES-LMa,3,GRP_VAR_INFO,VAR_INFO_HEIGHT,1
ES-LMa,3,GRP_VAR_INFO,VAR_INFO_MODEL,PREC-WeightGauge
ES-LMa,3,GRP_VAR_INFO,VAR_INFO_UNIT,mm
ES-LMa,3,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
ES-LMa,3,GRP_VAR_INFO,VAR_INFO_DATE,20200101
ES-LMa,4,GRP_VAR_INFO,VAR_INFO_VARNAME,PA
ES-LMa,4,GRP_VAR_INFO,VAR_INFO_HEIGHT,0.8
ES-LMa,4,GRP_VAR_INFO,VAR_INFO_MODEL,PRES-ElectBar
ES-LMa,4,GRP_VAR_INFO,VAR_INFO_UNIT,kPa
ES-LMa,4,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
ES-LMa,4,GRP_VAR_INFO,VAR_INFO_DATE,20200101
ES-LMa,5,GRP_VAR_INFO,VAR_INFO_VARNAME,RH
ES-LMa,5,GRP_VAR_INFO,VAR_INFO_HEIGHT,8
ES-LMa,5,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
ES-LMa,5,GRP_VAR_INFO,VAR_INFO_UNIT,%
ES-LMa,5,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
ES-LMa,5,GRP_VAR_INFO,VAR_INFO_DATE,20200101
ES-LMa,6,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_IN
ES-LMa,6,GRP_VAR_INFO,VAR_INFO_HEIGHT,15
ES-LMa,6,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
ES-LMa,6,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
ES-LMa,6,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
ES-LMa,6,GRP_VAR_INFO,VAR_INFO_DATE,20200101
ES-LMa,7,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_OUT
ES-LMa,7,GRP_VAR_INFO,VAR_INFO_HEIGHT,15
ES-LMa,7,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
ES-LMa,7,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
ES-LMa,7,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
ES-LMa,7,GRP_VAR_INFO,VAR_INFO_DATE,20200101
ES-LMa,8,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_1
ES-LMa,8,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.05
ES-LMa,8,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
ES-LMa,8,GRP_VAR_INFO,VAR_INFO_UNIT,%
ES-LMa,8,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
ES-LMa,8,GRP_VAR_INFO,VAR_INFO_DATE,20200101
ES-LMa,9,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_1
ES-LMa,9,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.05
ES-LMa,9,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
ES-LMa,9,GRP_VAR_INFO,VAR_INFO_UNIT,%
ES-LMa,9,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,3
ES-LMa,9,GRP_VAR_INFO,VAR_INFO_DATE,202501010030
ES-LMa,10,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_2
ES-LMa,10,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.1
ES-LMa,10,GRP_VAR_INFO,VAR_INFO_MODEL,SWC-FDR
ES-LMa,10,GRP_VAR_INFO,VAR_INFO_UNIT,%
ES-LMa,10,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
ES-LMa,10,GRP_VAR_INFO,VAR_INFO_DATE,20200101
ES-LMa,11,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_2
ES-LMa,11,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.1
ES-LMa,11,GRP_VAR_INFO,VAR_INFO_MODEL,SWC-FDR
ES-LMa,11,GRP_VAR_INFO,VAR_INFO_UNIT,%
ES-LMa,11,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,3
ES-LMa,11,GRP_VAR_INFO,VAR_INFO_DATE,202501010030
ES-LMa,12,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_3
ES-LMa,12,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.2
ES-LMa,12,GRP_VAR_INFO,VAR_INFO_MODEL,SWC-FDR
ES-LMa,12,GRP_VAR_INFO,VAR_INFO_UNIT,%
ES-LMa,12,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
ES-LMa,12,GRP_VAR_INFO,VAR_INFO_DATE,20200101
ES-LMa,13,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_3
ES-LMa,13,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.2
ES-LMa,13,GRP_VAR_INFO,VAR_INFO_MODEL,SWC-FDR
ES-LMa,13,GRP_VAR_INFO,VAR_INFO_UNIT,%
ES-LMa,13,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,3
ES-LMa,13,GRP_VAR_INFO,VAR_INFO_DATE,202501010030
ES-LMa,14,GRP_VAR_INFO,VAR_INFO_VARNAME,SWC_4
ES-LMa,14,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.4
ES-LMa,14,GRP_VAR_INFO,VAR_INFO_MODEL,SWC-FDR
ES-LMa,14,GRP_VAR_INFO,VAR_INFO_UNIT,%
ES-LMa,14,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
ES-LMa,14,GRP_VAR_INFO,VAR_INFO_DATE,20200101
