SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
FR-Tou,1,GRP_VAR_INFO,VAR_INFO_VARNAME,G
FR-Tou,1,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.05
FR-Tou,1,GRP_VAR_INFO,VAR_INFO_MODEL,SOIL_H-Plate
FR-Tou,1,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
FR-Tou,1,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,4
FR-Tou,1,GRP_VAR_INFO,VAR_INFO_DATE,20180101
FR-Tou,2,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_IN
FR-Tou,2,GRP_VAR_INFO,VAR_INFO_HEIGHT,3
FR-Tou,2,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
FR-Tou,2,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
FR-Tou,2,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
FR-Tou,2,GRP_VAR_INFO,VAR_INFO_DATE,20180101
FR-Tou,3,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_OUT
FR-Tou,3,GRP_VAR_INFO,VAR_INFO_HEIGHT,3
FR-Tou,3,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
FR-Tou,3,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
FR-Tou,3,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
FR-Tou,3,GRP_VAR_INFO,VAR_INFO_DATE,20180101
FR-Tou,4,GRP_VAR_INFO,VAR_INFO_VARNAME,NETRAD
FR-Tou,4,GRP_VAR_INFO,VAR_INFO_HEIGHT,3
FR-Tou,4,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
FR-Tou,4,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
FR-Tou,4,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
