SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
SE-Nor,1,GRP_VAR_INFO,VAR_INFO_VARNAME,D_SNOW_1_1_1
SE-Nor,1,GRP_VAR_INFO,VAR_INFO_HEIGHT,1.9
SE-Nor,1,GRP_VAR_INFO,VAR_INFO_MODEL,SNOW-Acoustic
SE-Nor,1,GRP_VAR_INFO,VAR_INFO_UNIT,cm
SE-Nor,1,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,1,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,2,GRP_VAR_INFO,VAR_INFO_VARNAME,G_1_1_1
SE-Nor,2,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.05
SE-Nor,2,GRP_VAR_INFO,VAR_INFO_MODEL,SOIL_H-Plate_AUTO
SE-Nor,2,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Nor,2,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,2,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,3,GRP_VAR_INFO,VAR_INFO_VARNAME,SG_1_1_1
SE-Nor,3,GRP_VAR_INFO,VAR_INFO_HEIGHT,0
SE-Nor,3,GRP_VAR_INFO,VAR_INFO_MODEL,SWC-FDR;TEMP-Thermis
SE-Nor,3,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Nor,3,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,3,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,4,GRP_VAR_INFO,VAR_INFO_VARNAME,G_2_1_1
SE-Nor,4,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.05
SE-Nor,4,GRP_VAR_INFO,VAR_INFO_MODEL,SOIL_H-Plate_AUTO
SE-Nor,4,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Nor,4,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,4,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,5,GRP_VAR_INFO,VAR_INFO_VARNAME,SG_2_1_1
SE-Nor,5,GRP_VAR_INFO,VAR_INFO_HEIGHT,0
SE-Nor,5,GRP_VAR_INFO,VAR_INFO_MODEL,SWC-FDR;TEMP-Thermis
SE-Nor,5,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Nor,5,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,5,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,6,GRP_VAR_INFO,VAR_INFO_VARNAME,G_3_1_1
SE-Nor,6,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.05
SE-Nor,6,GRP_VAR_INFO,VAR_INFO_MODEL,SOIL_H-Plate_AUTO
SE-Nor,6,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Nor,6,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,6,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,7,GRP_VAR_INFO,VAR_INFO_VARNAME,SG_3_1_1
SE-Nor,7,GRP_VAR_INFO,VAR_INFO_HEIGHT,0
SE-Nor,7,GRP_VAR_INFO,VAR_INFO_MODEL,SWC-FDR;TEMP-Thermis
SE-Nor,7,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Nor,7,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,7,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,8,GRP_VAR_INFO,VAR_INFO_VARNAME,G_4_1_1
SE-Nor,8,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.05
SE-Nor,8,GRP_VAR_INFO,VAR_INFO_MODEL,SOIL_H-Plate_AUTO
SE-Nor,8,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Nor,8,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,8,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,9,GRP_VAR_INFO,VAR_INFO_VARNAME,SG_4_1_1
SE-Nor,9,GRP_VAR_INFO,VAR_INFO_HEIGHT,0
SE-Nor,9,GRP_VAR_INFO,VAR_INFO_MODEL,SWC-FDR;TEMP-Thermis
SE-Nor,9,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Nor,9,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,9,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,10,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_IN_1_1_1
SE-Nor,10,GRP_VAR_INFO,VAR_INFO_HEIGHT,55
SE-Nor,10,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
SE-Nor,10,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
