SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
SE-Nor,1,GRP_VAR_INFO,VAR_INFO_VARNAME,D_SNOW
SE-Nor,1,GRP_VAR_INFO,VAR_INFO_HEIGHT,1.9
SE-Nor,1,GRP_VAR_INFO,VAR_INFO_MODEL,SNOW-Acoustic
SE-Nor,1,GRP_VAR_INFO,VAR_INFO_UNIT,cm
SE-Nor,1,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,1,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,2,GRP_VAR_INFO,VAR_INFO_VARNAME,G_1
SE-Nor,2,GRP_VAR_INFO,VAR_INFO_HEIGHT,0
SE-Nor,2,GRP_VAR_INFO,VAR_INFO_MODEL,SOIL_H-Plate_AUTO
SE-Nor,2,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Nor,2,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,4
SE-Nor,2,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,3,GRP_VAR_INFO,VAR_INFO_VARNAME,G_2
SE-Nor,3,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.05
SE-Nor,3,GRP_VAR_INFO,VAR_INFO_MODEL,SOIL_H-Plate_AUTO
SE-Nor,3,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Nor,3,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,4
SE-Nor,3,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,4,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_IN
SE-Nor,4,GRP_VAR_INFO,VAR_INFO_HEIGHT,55
SE-Nor,4,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
SE-Nor,4,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Nor,4,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,4,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,5,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_OUT
SE-Nor,5,GRP_VAR_INFO,VAR_INFO_HEIGHT,55
SE-Nor,5,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
SE-Nor,5,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Nor,5,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,5,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,6,GRP_VAR_INFO,VAR_INFO_VARNAME,P
SE-Nor,6,GRP_VAR_INFO,VAR_INFO_HEIGHT,1.5
SE-Nor,6,GRP_VAR_INFO,VAR_INFO_MODEL,RAIN-TipBucGauge
SE-Nor,6,GRP_VAR_INFO,VAR_INFO_UNIT,mm
SE-Nor,6,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,6,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,7,GRP_VAR_INFO,VAR_INFO_VARNAME,P
SE-Nor,7,GRP_VAR_INFO,VAR_INFO_HEIGHT,1.6
SE-Nor,7,GRP_VAR_INFO,VAR_INFO_MODEL,PREC-WeightGauge
SE-Nor,7,GRP_VAR_INFO,VAR_INFO_UNIT,mm
SE-Nor,7,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,7,GRP_VAR_INFO,VAR_INFO_DATE,202008131227
SE-Nor,8,GRP_VAR_INFO,VAR_INFO_VARNAME,PA
SE-Nor,8,GRP_VAR_INFO,VAR_INFO_HEIGHT,1.5
SE-Nor,8,GRP_VAR_INFO,VAR_INFO_MODEL,PRES-ElectBar
SE-Nor,8,GRP_VAR_INFO,VAR_INFO_UNIT,kPa
SE-Nor,8,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,8,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,9,GRP_VAR_INFO,VAR_INFO_VARNAME,PPFD_IN
SE-Nor,9,GRP_VAR_INFO,VAR_INFO_HEIGHT,55.05
SE-Nor,9,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-PAR Quantum
SE-Nor,9,GRP_VAR_INFO,VAR_INFO_UNIT,umolPhoton m-2 s-1
SE-Nor,9,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,9,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,10,GRP_VAR_INFO,VAR_INFO_VARNAME,PPFD_OUT
SE-Nor,10,GRP_VAR_INFO,VAR_INFO_HEIGHT,54.95
SE-Nor,10,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-PAR Quantum
SE-Nor,10,GRP_VAR_INFO,VAR_INFO_UNIT,umolPhoton m-2 s-1
SE-Nor,10,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,10,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,11,GRP_VAR_INFO,VAR_INFO_VARNAME,RH
SE-Nor,11,GRP_VAR_INFO,VAR_INFO_HEIGHT,36.8
SE-Nor,11,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
