SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
SE-Svb,1,GRP_VAR_INFO,VAR_INFO_VARNAME,D_SNOW
SE-Svb,1,GRP_VAR_INFO,VAR_INFO_HEIGHT,2.01
SE-Svb,1,GRP_VAR_INFO,VAR_INFO_MODEL,SNOW-Acoustic
SE-Svb,1,GRP_VAR_INFO,VAR_INFO_UNIT,cm
SE-Svb,1,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Svb,1,GRP_VAR_INFO,VAR_INFO_DATE,20190429
SE-Svb,2,GRP_VAR_INFO,VAR_INFO_VARNAME,G_1
SE-Svb,2,GRP_VAR_INFO,VAR_INFO_HEIGHT,0
SE-Svb,2,GRP_VAR_INFO,VAR_INFO_MODEL,SOIL_H-Plate_AUTO
SE-Svb,2,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Svb,2,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,4
SE-Svb,2,GRP_VAR_INFO,VAR_INFO_DATE,20190429
SE-Svb,3,GRP_VAR_INFO,VAR_INFO_VARNAME,G_2
SE-Svb,3,GRP_VAR_INFO,VAR_INFO_HEIGHT,-0.05
SE-Svb,3,GRP_VAR_INFO,VAR_INFO_MODEL,SOIL_H-Plate_AUTO
SE-Svb,3,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Svb,3,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,4
SE-Svb,3,GRP_VAR_INFO,VAR_INFO_DATE,20190429
SE-Svb,4,GRP_VAR_INFO,VAR_INFO_VARNAME,LW_IN
SE-Svb,4,GRP_VAR_INFO,VAR_INFO_HEIGHT,50
SE-Svb,4,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
SE-Svb,4,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Svb,4,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
